artist_id,genre
7EGwUS3c5dXduO4sMyLWC5,new americana
7EGwUS3c5dXduO4sMyLWC5,stomp and holler
7gRGh8w4G9zaFJSaIYp8HH,asheville indie
7gRGh8w4G9zaFJSaIYp8HH,folk-pop
7gRGh8w4G9zaFJSaIYp8HH,indie folk
7gRGh8w4G9zaFJSaIYp8HH,new americana
7gRGh8w4G9zaFJSaIYp8HH,north carolina roots
7gRGh8w4G9zaFJSaIYp8HH,stomp and flutter
7gRGh8w4G9zaFJSaIYp8HH,stomp and holler
6xrCU6zdcSTsG2hLrojpmI,chamber pop
6xrCU6zdcSTsG2hLrojpmI,gothenburg indie
6xrCU6zdcSTsG2hLrojpmI,indie folk
6xrCU6zdcSTsG2hLrojpmI,stomp and holler
6xrCU6zdcSTsG2hLrojpmI,swedish indie folk
6xrCU6zdcSTsG2hLrojpmI,swedish indie pop
6xrCU6zdcSTsG2hLrojpmI,swedish singer-songwriter
6ZjFtWeHP9XN7FeKSUe80S,adult standards
6ZjFtWeHP9XN7FeKSUe80S,easy listening
6ZjFtWeHP9XN7FeKSUe80S,lounge
6ZjFtWeHP9XN7FeKSUe80S,swing
0OcclcP5o8VKH2TRqSY2A7,canadian classical
0OcclcP5o8VKH2TRqSY2A7,canadian soundtrack
0OcclcP5o8VKH2TRqSY2A7,middle earth
0OcclcP5o8VKH2TRqSY2A7,orchestral soundtrack
0OcclcP5o8VKH2TRqSY2A7,scorecore
0OcclcP5o8VKH2TRqSY2A7,soundtrack
7mCsyzq823cXJ5puxUN3aJ,orchestral soundtrack
7mCsyzq823cXJ5puxUN3aJ,soundtrack
0kJO65h553i1iGsZutBuqz,classic pakistani pop
0kJO65h553i1iGsZutBuqz,filmi
0kJO65h553i1iGsZutBuqz,modern bollywood
2ijWbN5KykTYiBoVmhzCTU,classic bollywood
2ijWbN5KykTYiBoVmhzCTU,filmi
2ijWbN5KykTYiBoVmhzCTU,ghazal
2ijWbN5KykTYiBoVmhzCTU,hare krishna
2ijWbN5KykTYiBoVmhzCTU,sufi
4gdMJYnopf2nEUcanAwstx,desi pop
4gdMJYnopf2nEUcanAwstx,hindi indie
4gdMJYnopf2nEUcanAwstx,indian indie
4gdMJYnopf2nEUcanAwstx,indian singer-songwriter
2OgUPVlWYgGBGMefZgGvCO,album rock
2OgUPVlWYgGBGMefZgGvCO,glam metal
2OgUPVlWYgGBGMefZgGvCO,hard rock
2OgUPVlWYgGBGMefZgGvCO,metal
2OgUPVlWYgGBGMefZgGvCO,progressive metal
2OgUPVlWYgGBGMefZgGvCO,us power metal
5Hpt9NA27fOu1HhvQ6YITJ,video game music
2G3ZFLw5F0jff6EJ8RvCx0,new jack swing
6iv4lysB1yHXoZJ2gfqTdh,desi pop
6iv4lysB1yHXoZJ2gfqTdh,indian fusion
6iv4lysB1yHXoZJ2gfqTdh,modern bollywood
2wh5Qu35PjDbJBqAv65RGa,contemporary r&b
2wh5Qu35PjDbJBqAv65RGa,minneapolis sound
2wh5Qu35PjDbJBqAv65RGa,new jack swing
2wh5Qu35PjDbJBqAv65RGa,quiet storm
2wh5Qu35PjDbJBqAv65RGa,urban contemporary
7eWhSlk1SPRRFkt9l6QE7R,singing bowl
34gAaWeYZoRER7MY3KBy1Q,punjabi pop
0994Up3Ob4zUFm3OFOWpzJ,instrumental hip hop
7jSx23uwKdNv2g0CUdxDLC,modern bhajan
0fA0VVWsXO9YnASrzqfmYu,hip hop
0fA0VVWsXO9YnASrzqfmYu,ohio hip hop
0fA0VVWsXO9YnASrzqfmYu,pop rap
0fA0VVWsXO9YnASrzqfmYu,rap
3QRKvKGKyzKs7t8q70TqN4,melancholia
3QRKvKGKyzKs7t8q70TqN4,sophisti-pop
2jgPkn6LuUazBoBk6vvjh5,baroque pop
2jgPkn6LuUazBoBk6vvjh5,british invasion
2jgPkn6LuUazBoBk6vvjh5,classic rock
2jgPkn6LuUazBoBk6vvjh5,folk rock
2jgPkn6LuUazBoBk6vvjh5,psychedelic rock
4sD9znwiVFx9cgRPZ42aQ1,lilith
4sD9znwiVFx9cgRPZ42aQ1,new wave pop
4sD9znwiVFx9cgRPZ42aQ1,singer-songwriter
5cYLUzoshWfZP3MxdYHRhg,souldies
3kc5AFnL1TQQdNaMdSW2UO,dancehall
3kc5AFnL1TQQdNaMdSW2UO,reggae fusion
50OApTJurDusIo9dGTqSU4,french indie pop
50OApTJurDusIo9dGTqSU4,french rock
1Y8cdNmUJH7yBTd9yOvr5i,dance pop
1Y8cdNmUJH7yBTd9yOvr5i,girl group
1Y8cdNmUJH7yBTd9yOvr5i,pop
1Y8cdNmUJH7yBTd9yOvr5i,r&b
1Y8cdNmUJH7yBTd9yOvr5i,urban contemporary
7aB2KbM3pphL9mU3dXbyh2,melodic dubstep
7aB2KbM3pphL9mU3dXbyh2,pop edm
7aB2KbM3pphL9mU3dXbyh2,traprun
6e4aHkdDUcsaXPTQdF6Qhn,uk pop
0ph1WGujzlmeYdaHfGf1co,soul flow
1irvKnrTIl4uhTw44brINj,bass trap
1irvKnrTIl4uhTw44brINj,electronic trap
4k1ELeJKT1ISyDv8JivPpB,big beat
4k1ELeJKT1ISyDv8JivPpB,breakbeat
4k1ELeJKT1ISyDv8JivPpB,dance rock
4k1ELeJKT1ISyDv8JivPpB,hardcore techno
4k1ELeJKT1ISyDv8JivPpB,rave
5kIhxGyX6VtcsLk88dwYED,calming instrumental
5kIhxGyX6VtcsLk88dwYED,chill guitar
5kIhxGyX6VtcsLk88dwYED,focus
2LZDXcxJWgsJfKXZv9a5eG,downtempo
2LZDXcxJWgsJfKXZv9a5eG,electropop
2LZDXcxJWgsJfKXZv9a5eG,shiver pop
1ECKbPx4YhCU4SgKq8pfAc,guyanese pop
3NmuArRqqfxT4rvFSgb0cx,arab trap
3NmuArRqqfxT4rvFSgb0cx,electronic trap
3NmuArRqqfxT4rvFSgb0cx,moombahton
6qS98hCc0GWwq1AShPNl2w,gaming edm
3rq78lkE1laoELdsHHirtg,gaming edm
1gR0gsQYfi6joyO1dlp76N,alternative dance
1gR0gsQYfi6joyO1dlp76N,dance-punk
1gR0gsQYfi6joyO1dlp76N,electronica
1gR0gsQYfi6joyO1dlp76N,filter house
1gR0gsQYfi6joyO1dlp76N,indietronica
1gR0gsQYfi6joyO1dlp76N,new rave
7I6vxT13u1dfn0uS7DpJDS,gaming edm
2NdeV5rLm47xAvogXrYhJX,dance pop
2NdeV5rLm47xAvogXrYhJX,hip pop
2NdeV5rLm47xAvogXrYhJX,pop
2NdeV5rLm47xAvogXrYhJX,r&b
2NdeV5rLm47xAvogXrYhJX,urban contemporary
6l3HvQ5sa6mXTsMTB19rO5,conscious hip hop
6l3HvQ5sa6mXTsMTB19rO5,hip hop
6l3HvQ5sa6mXTsMTB19rO5,north carolina hip hop
6l3HvQ5sa6mXTsMTB19rO5,rap
0WOxhx4hikIsyF3CRPLC8W,chicago rap
0WOxhx4hikIsyF3CRPLC8W,drill
0WOxhx4hikIsyF3CRPLC8W,rap
0WOxhx4hikIsyF3CRPLC8W,trap
